,Job Title,Company Name,Industry,Company Location,New Job (90 Days),Year Started,Profile Headline,Profile Summary,School,Degree,Education End,Field of Study,Domain,CompanyName,JobTitle,My Network,Country,Continent,FieldOfStudy
20,Interaction design Intern,Beyond Design,Design,"Udaipur, Rajasthan, India",True,2021.0,Interaction design Intern at Beyond Design,,Vellore Institute of Technology,ug,group1,Mechanical Engineering,Arts and Design,Beyond Design,Intern,network,India,AS,Mechanical Engineering
21,Vehicle Designer,HORIBA MIRA,Mechanical or Industrial Engineering,Greater Leicester Area,False,2015.0,Vehicle Designer at HORIBA MIRA,"Experienced Designer with a demonstrated history of working in the automotive industry. Skilled in SolidWorks, ANSYS, Siemens NX, Matlab, and CATIA. Strong arts and design professional with a Master's Degree focused in Automotive Engineering from VIT Vellore in Collaboration with ARAI Pune. ",VIT Vellore in Collaboration with ARAI Pune,pg,group3,Automotive Engineering,Arts and Design,HORIBA MIRA,Designer,network,England,unknown,Mechanical Engineering
22,Battery Designer,Rivian,Mechanical or Industrial Engineering,"Dublin, Ohio, United States",False,2020.0,"Mechanical Design Engineer, System Integration Engineer (CAD, CAE, xEV Battery Design, V-cycle Product Development, Rapid Prototyping, Manufacturing) ","In the ever-growing technological world where a person with a holistic approach towards product development is desired, I believe I am that person who can and will bring the multi-domain skill set to achieve organizational and team goals. 

I am passionate about product development with fast-paced learning and never-ending inquisitiveness. Loves problem-solving, and team-work to foster growth.
 
With working experience in multiple OEM's and with active presence in young leadership roles at Goken America LLC, CU-ICAR, and VIT Vellore, I am proficient in:

1. Systems way of product engineering: 
V-model of product development starting from researching & understanding customer requirements and working all the way to develop a product which aligns with the customer’s needs

2. Product development (CAD/CAE):
Sheet metal & surface design, interiors plastics design, part, assembly, and drafting; using CATIA, SolidWorks, AutoCAD; CAE using HyperWorks - HyperMesh, OptiStruct, Abaqus non-linear; Ansys, basic Heat transfer Analysis, basic flow analysis using GT-Suite & Star-CCM+, Design for Manufacturing/Assembly, PDCA, DMAIC

3. Powertrain systems:
Components sizing, power flow simulations, powertrain controls strategy tuning (conventional, hybrids, EVs) using Matlab Simulink  

4. Lightweight Materials:
Steel, Al, Mg; Composites and Plastics

5.	Hands-on:
Prototyping and validation (hand tools, power tools, machining equipment)

6.	Automotive Testing:
BIW static & dynamic mode testing, modal NVH & vehicle testing, lab equipment (vehicle instrumentation, sensor calibration, troubleshooting, data acquisition, and data analysis; Somat TCE eDAQ, X-modal, MATLAB, Excel)

7. Working experience in fast-paced high volume manufacturing environment including application of Six Sigma tools for continuous improvement (root cause analysis, poka yoke development)

8. Exploring design automation through programming and applied data science & machine learning algorithms to business intelligence, product development & management.
",Chalmers University of Technology,pg,group2,"(Conventional, Hybrid and Electric Vehicles)",Arts and Design,Rivian,Designer,network,United States,NA,"Electrical, Electronics and Communication Engineering"
23,Digital DevOps Engineer,HSBC,Information Technology and Services,New York City Metropolitan Area,False,2018.0,Digital DevOps Engineer at HSBC,AWS Certified Cloud Engineer holding 3 AWS Associate and DevOps Engineer Professional Level  Certificates.,Binghamton University,pg,group2,Computer Science,Arts and Design,HSBC,developer,network,United States,NA,Computer Science
24,Product Designer,"Two Point Conversions, Inc.",Information Technology and Services,"Chicago, Illinois, United States",False,2018.0,"Leading Product + UX at Remedy (Two Point Conversions, Inc.)",http://aroonmathai.com,Carnegie Mellon University,pg,group2,Human Computer Interaction,Arts and Design,"Two Point Conversions, Inc.",Designer,network,United States,NA,Computer Science
25,Product Designer,udaan.com,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2018.0,Product Designer at udaan,,Vellore Institute of Technology,ug,group2,Information Technology,Arts and Design,udaan.com,Designer,network,India,AS,Computer Science
26,Digital Technology Intern,GE,Information Technology and Services,"Jaipur, Rajasthan, India",True,2021.0,Digital Technology Intern at General Electric Gas Power,,Vellore Institute of Technology,ug,group1,Information Technology,Arts and Design,GE,Intern,network,India,AS,Computer Science
27,Product Designer,Recurr,Information Technology and Services,"Pune, Maharashtra, India",True,2021.0,Product Designer at Recurr | Co-Founder at Sleefax | UI/UX Designing and Frontend Development,"I have always been a creator of sorts since childhood. Been a novel writer, script writer and short film maker among other pursuits. Have experience in Frontend Web Development and UI/UX Designing.

Been passionate about technology since 10. Avid reader, business enthusiast. Stands at the intersection of technology, art and humanities. A constant learner and passionate technologist who believes: “Those who are crazy enough to think they can change the world usually do”

Specialties: Product Design, Web Development, Product Management, Corporate Development, Business Operations, Product Strategy & Marketing.",Maharashtra Institute of Technology,ug,group1,"Electrical, Electronics and Communications Engineering",Arts and Design,Recurr,Designer,network,India,AS,"Electrical, Electronics and Communication Engineering"
28,Product Designer - 1,Flipkart,Information Technology and Services,"Bangalore Urban, Karnataka, India",True,2021.0,"Product Designer at Flipkart | Prev. @Dunzo | Figma Community Advocate, Bengaluru","Designing for users @Flipkart. 
Prev at Dunzo
Winner of Zomato UX Teardown 🏆",Vellore Institute of Technology,ug,group2,Computer Science and information security,Arts and Design,Flipkart,Designer,network,India,AS,Computer Science
29,Digital Solutions ,Pandora,Consumer Goods,"Copenhagen, Capital Region, Denmark",False,2020.0,E-commerce I Order fulfillment I BI & Analytics,"Business Architecture and digital software engineering with success in delivering complex solutions over years in Order Managment, ecommerce, BI and analytics solution within GCP & Microsoft Azure

•	Workshops with clients to map the business requirements appropriately with product capabilities.
•	Create scalable model to leverage the optimal out-of-the-box product usage.
•	POCs and Product demo’s to the client on areas covering Retail and supply Chain management
•	Demonstrate product capability to suit business requirement by showing product demo’s to customer.",Vellore Institute of Technology,ug,group3,Bioinformatics,Arts and Design,Pandora,Solution Expert,network,Denmark,EU,bioinformatics
30,Autocad Designer,Freelance,Consumer Services,"Tamil Nadu, India",False,2020.0,Autocad Designer (Freelance),"A civil undergraduate who is eager to learn and perform better with every opportunity . Loves making AutoCad plans of buildings and doing surveys of land. Dedicated , passionate and devoted towards work . Believes in hard-work , discipline and punctuality . Interested in Design and drafting. Looking forward to work in a civil firm and get more experience.",Vellore Institute of Technology,ug,group1,Civil Engineering,Arts and Design,Freelance,Designer,network,India,AS,Civil Engineering
31,Designer,DBQC-The Quiz Club of VIT,Mechanical or Industrial Engineering,"Bangalore Urban, Karnataka, India",False,2020.0,Automotive Engineer ,"Looking for opportunities to learn more.
Also looking for Summer Internships 2020","Vellore Institute of Technology, Vellore",ug,group1,Automotive Engineering Technology/Technician,Arts and Design,DBQC-The Quiz Club of VIT,Designer,network,India,AS,Mechanical Engineering
32,Head of Design,Computer Society of India - VIT Student Chapter,Information Technology and Services,"Delhi, India",False,2020.0,Head of Design at Computer Society of India | Computer Science at Vellore Institute of Technology,,Vellore Institute of Technology,ug,group1,Computer Science,Arts and Design,Computer Society of India - VIT Student Chapter,Team Leader,network,India,AS,Computer Science
33,Designer in Residence,10kdesigners,Consumer Goods,"Bangalore Urban, Karnataka, India",True,2021.0,Ui/UX designer | Designer in residence @10kdesigners,"I am a curious person who love to learn new and exciting things and try to apply and change. I love challenges and try to find out a way amidst of dire situations. 
I am currently working as a UI/UX designer in Licious. Skilled in designing UI systems in react js as well as designing apps in figma.",VIT UNIVERSITY,pg,group2,COMPUTER APPLICATIONS,Arts and Design,10kdesigners,Designer,network,India,AS,Computer Science
34,Flutter App Developer,HelpNow,Hospital & Health Care,"Vellore, Tamil Nadu, India",True,2021.0,Flutter App Developer at HelpNow,"Designer | Programmer 

Winner of Best UI/UX in Parallax 2020 hosted by TEC VIT

Winner of Best Design in Women Techies 2020 hosted by DSC VIT

Always learning.",Vellore Institute of Technology,ug,group1,Computer Science,Arts and Design,HelpNow,Developer,network,India,AS,Computer Science
35,Product Designer,Zuddl,Design,"Delhi, India",False,2020.0,"Platform Design & Marketing at Zuddl / Host of ""Take it Easy"" Podcast / anshmehra.com",Currently learning UX Design and Marketing - plan to achieve both internal and external success.,Vellore Institute of Technology,ug,group2,Computer Science,Arts and Design,Zuddl,Designer,network,India,AS,Computer Science
36,Product Designer,DelightChat,Information Technology and Services,"Bangalore Urban, Karnataka, India",True,2021.0,Product Designer at DelightChat,"I have a deep interest in building and designing products and bringing technological innovations that bring a change in people's lives. I aspire to Design products that make a difference in someone's life 😀

Reach me at shrutichaturvedi98@gmail.com if you think we can work on something cool together.  ",Vellore Institute of Technology,ug,group2,Production and Industrial,Arts and Design,DelightChat,Designer,network,India,AS,Manufacturing and Production
37,Engineer - ASIC Design,SiFive,Consumer Goods,"Chengalpattu, Tamil Nadu, India",False,2020.0,Engineer - ASIC Design at SiFive,,VIT University (Chennai Campus),not_given,group2,electronics and communication engineering,Arts and Design,SiFive,Engineer,network,India,AS,"Electrical, Electronics and Communication Engineering"
38,Product Designer,Reverie Language Technologies,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2020.0,Design and Product at Reverie Language Technologies | HFI Certified Usability Analyst (CUA)™,"A versatile designer, passionate about bridging the gap between user experience and business objectives with design. Has experience of working in the Information technology and services industry. Skilled in User Research, Wireframing, Typography, Information architecture, Prototyping, Visual Design & Usability Testing.

A HFI Certified Usability Analyst.

Also a Film making and Photography enthusiast.",Vellore Institute of Technology,ug,group2,Computer Science with Specialization in Bioinformatics,Arts and Design,Reverie Language Technologies,Designer,network,India,AS,Computer Science
39,Visual Designer,Zoho Corporation,Information Technology and Services,"Chennai, Tamil Nadu, India",True,2021.0,Visual Designer at Zoho,"
To work on design projects with an urge to understand project significance learn design methods. To learn conceptualisation of ideas and form exploration for products, interfaces and digital media. To channelize my passion for art and design to strike a balance between form and functionality. ",Vellore Institute of Technology,pg,group2,Software Engineering(Integrated),Arts and Design,Zoho Corporation,Designer,network,India,AS,Computer Science
40,Digital Specialist,McKinsey & Company,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2020.0,Digital Specialist @ McKinsey & Company | Ex-Microsoft Intern | SRE | AWS Cloud | Azure | Terraform | DevOps,"A passionate problem solver, initiative taker with strong logical and analytical skills, with the ability to work individually as well as in a team. An enthusiast to learn new ideas. 

My interests lie in DevSecOps, Cloud Engineering, System Design, Software Engineering, Algorithmic Problem Solving, SDLC and Agile. 

Have experience in building scalable applications from scratch using modern DevOps tool kit and Javascript technologies like React.js, Node.js and React Native.

Primarily focusing on gaining exposure to technologies and organisational processes to run technology businesses.",Vellore Institute of Technology,ug,group2,Computer Science and Engineering,Arts and Design,McKinsey & Company,Specialist,network,India,AS,Computer Science
41,Web Developer,Buyhatke,Information Technology and Services,"Tamil Nadu, India",False,2020.0,Web Developer at Buyhatke,VIT vellore,Vellore Institute of Technology,ug,group2,Computer Science,Arts and Design,Buyhatke,Developer,network,India,AS,Computer Science
42,Interaction design Intern,Beyond Design,Design,"Udaipur, Rajasthan, India",True,2021.0,Interaction design Intern at Beyond Design,,Vellore Institute of Technology,ug,group1,Mechanical Engineering,Arts and Design,Beyond Design,Intern,network,India,AS,Mechanical Engineering
43,Vehicle Designer,HORIBA MIRA,Mechanical or Industrial Engineering,Greater Leicester Area,False,2015.0,Vehicle Designer at HORIBA MIRA,"Experienced Designer with a demonstrated history of working in the automotive industry. Skilled in SolidWorks, ANSYS, Siemens NX, Matlab, and CATIA. Strong arts and design professional with a Master's Degree focused in Automotive Engineering from VIT Vellore in Collaboration with ARAI Pune. ",VIT Vellore in Collaboration with ARAI Pune,pg,group3,Automotive Engineering,Arts and Design,HORIBA MIRA,Designer,network,England,unknown,Mechanical Engineering
44,"Program Leader, Digital Customer Experience ",Schneider Electric,Consumer Goods,Greater Paris Metropolitan Region,False,2019.0,Program Leader | Digital Customer Experience,"A highly motivated and ambitious individual, possessing excellent management skills and having the ability to work with the minimum of supervision whilst leading a team. Having a proven ability to lead by example, consistently hit targets, improve best practices and organise time efficiently.

Core areas of expertise include:

•	Software Development Life Cycle (SDLC)
•	IT Efficiency & Productivity
•	Strategic Planning
•	Project Management	
•	Enterprise Collaboration Solution
•	Web Application Development
•	Technology Integration
•	Business Process Improvement
•	Collaborative Problem Solving",INSEAD,not_given,group2,Leading Yourself and Others & Strategy in Turbulent Times,Arts and Design,Schneider Electric,Team Leader,network,France,EU,leadingyourselfandothersstrategyinturbulenttimes
45,Digital Specialist,McKinsey & Company,Management Consulting,"Bangalore Urban, Karnataka, India",False,2019.0,Digital Specialist at McKinsey & Company,"Full Stack Polyglot Developer with McKinsey Digital Labs, Bengaluru. Specializes in developing both Mobile and Web based solutions using latest technology stack.",Vellore Institute of Technology,ug,group3,Information Technology,Arts and Design,McKinsey & Company,Specialist,network,India,AS,Computer Science
46,Food Photographer,The Hungry Pizzerian,Entertainment,"Tamil Nadu, India",False,2017.0,Former Risk and Financial Advisory Intern at Deloitte India (Offices of the US),I am a hardworking person who strives to do his job with utmost perfection.,Vellore Institute of Technology,ug,group2,Information Technology,Arts and Design,The Hungry Pizzerian,Photographer,network,India,AS,Computer Science
47,Management Lead,Microsoft Innovations Club VIT,Information Technology and Services,"Bhawan, Himachal Pradesh, India",False,2020.0,"Upcoming 2021 SWE Intern @JPMorgan|| PRISM Developer @Samsung||
Microsoft Learn Student Ambassador|| ","I describe myself as an enthusiastic individual with a never-ending quench for learning. I am intrigued by technology and enjoy working with new teams and always look for opportunities to expand my knowledge.
I am currently pursuing my bachelor's degree in electronics and computer engineering at the Vellore Institute of Technology Chennai.",Vellore Institute of Technology,ug,group1,Electronics and Computer Engineering - ECM,Arts and Design,Microsoft Innovations Club VIT,Manager,network,India,AS,Computer Science
48,Designer,"English Literary Association, VIT Chennai",Information Technology and Services,"Dehradun, Uttarakhand, India",False,2020.0,Event Manager and content writer at PALS VIT Chennai,"Hardworking college student bringing forth a motivated attitude and a variety of skills. Good time management skills combined with a knowledge of C/C++ and app development and design. Strong organizational abilities with proven success in managing academic projects and volunteering events. Well rounded and professional team player dedicated to continuing academic pursuits at the collegiate level.
Link to-->
Github: https://github.com/aj-spec
Codeforces: https://codeforces.com/profile/ayushij1604
Hackerearth: https://www.hackerearth.com/@ayushij1604",Vellore Institute of Technology,ug,group1,Computer Science,Arts and Design,"English Literary Association, VIT Chennai",Designer,network,India,AS,Computer Science
49,Digital Product Intern,Axis Bank,Electrical/Electronic Manufacturing,"Ahmedabad, Gujarat, India",True,2021.0,Digital Product Intern @ Axis Bank,"An energetic undergraduate pursuing Bachelor's in Electrical and Electronics Engineering at Vellore Institute of Technology. Enthusiastic team player and dedicated learner with a fertile mind. Highly interested but has minimal experience in Data Science, Finance and Marketing. Considers her communication skills and problem solving techniques as her strengths. Constantly on a lookout for opportunities to enhance her technical and interpersonal skills.",Vellore Institute of Technology,ug,group1,Electrical and Electronics Engineering,Arts and Design,Axis Bank,Intern,network,India,AS,Computer Science
50,Design and Estimating engineer (Pre-Sales),MABANI STEEL LLC المباني للحديد,Civil Engineering,United Arab Emirates,False,2017.0,.,"A young and enthusiastic Civil&structural Engineering Graduate with certification in ASSOCIATE PROFFESIONAL ENGINEER (A.P.E) from ENGINEERING COUNCIL OF INDIA (ECI) . I finished my M.tech structural engineering in VIT university and currently working in  mabani steel UAE. My previous experience -KIRBY BUILDING SYSTEMS HYDERABAD (MIDDLE-EAST ASIA division) as structural engineer  and PROJECT OFFICER in IIT MADRAS under Dr. DEVADAS MENON. Acquired hands on experience in CSIR-SERC (structural engineering research centre) for 7 months as a project-internship student and in L&T ECC (B&f) as a internship student for one month. Seeking a opening as structural engineering ( offshore , onshore ) in a company where i can learn all the aspects of structural engineering and aid the company through my work.",Vellore Institute of Technology,pg,group3,Structural Engineering,Arts and Design,MABANI STEEL LLC المباني للحديد,Engineer,network,United Arab Emirates,AS,Civil Engineering
51,Graphic Designer,GooCampus Edu Solutions,Education Management,"Bengaluru, Karnataka, India",True,2021.0,Graphic Designer at GooCampus Edu Solutions,,Vellore Institute of Technology,pg,group1,Biotechnology,Arts and Design,GooCampus Edu Solutions,Designer,network,India,AS,Biotechnology
52,Management Lead,Microsoft Innovations Club VIT,Information Technology and Services,"Bhawan, Himachal Pradesh, India",False,2020.0,"Upcoming 2021 SWE Intern @JPMorgan|| PRISM Developer @Samsung||
Microsoft Learn Student Ambassador|| ","I describe myself as an enthusiastic individual with a never-ending quench for learning. I am intrigued by technology and enjoy working with new teams and always look for opportunities to expand my knowledge.
I am currently pursuing my bachelor's degree in electronics and computer engineering at the Vellore Institute of Technology Chennai.",Vellore Institute of Technology,ug,group1,Electronics and Computer Engineering - ECM,Arts and Design,Microsoft Innovations Club VIT,Manager,network,India,AS,Computer Science
53,Designer,"English Literary Association, VIT Chennai",Information Technology and Services,"Dehradun, Uttarakhand, India",False,2020.0,Event Manager and content writer at PALS VIT Chennai,"Hardworking college student bringing forth a motivated attitude and a variety of skills. Good time management skills combined with a knowledge of C/C++ and app development and design. Strong organizational abilities with proven success in managing academic projects and volunteering events. Well rounded and professional team player dedicated to continuing academic pursuits at the collegiate level.
Link to-->
Github: https://github.com/aj-spec
Codeforces: https://codeforces.com/profile/ayushij1604
Hackerearth: https://www.hackerearth.com/@ayushij1604",Vellore Institute of Technology,ug,group1,Computer Science,Arts and Design,"English Literary Association, VIT Chennai",Designer,network,India,AS,Computer Science
54,Digital Product Intern,Axis Bank,Electrical/Electronic Manufacturing,"Ahmedabad, Gujarat, India",True,2021.0,Digital Product Intern @ Axis Bank,"An energetic undergraduate pursuing Bachelor's in Electrical and Electronics Engineering at Vellore Institute of Technology. Enthusiastic team player and dedicated learner with a fertile mind. Highly interested but has minimal experience in Data Science, Finance and Marketing. Considers her communication skills and problem solving techniques as her strengths. Constantly on a lookout for opportunities to enhance her technical and interpersonal skills.",Vellore Institute of Technology,ug,group1,Electrical and Electronics Engineering,Arts and Design,Axis Bank,Intern,network,India,AS,Computer Science
