,Industry,Company Location,New Job (90 Days),Year Started,Profile Headline,Profile Summary,School,Degree,Education End,Domain,CompanyName,JobTitle,My Network,Country,Continent,FieldOfStudy,Industry_embedding,Company Location_embedding,Profile Headline_embedding,Profile Summary_embedding,School_embedding,Degree_embedding,Education End_embedding,Domain_embedding,CompanyName_embedding,JobTitle_embedding,My Network_embedding,Country_embedding,Continent_embedding,FieldOfStudy_embedding
10,Information Technology and Services,"Delhi, India",False,2020.0,Head of Design at Computer Society of India | Computer Science at Vellore Institute of Technology,,Vellore Institute of Technology,ug,group1,Arts and Design,Computer Society of India - VIT Student Chapter,Team Leader,network,India,AS,Computer Science,-0.24523748,0.043291796,-0.26224574,0.0068888944,0.7513437,-0.12845042,-0.5150479,0.19595388,-0.18253781,-0.28544277,-0.34562543,-0.15667738,-0.22795308,-0.5947676
11,Consumer Goods,"Bangalore Urban, Karnataka, India",True,2021.0,Ui/UX designer | Designer in residence @10kdesigners,"I am a curious person who love to learn new and exciting things and try to apply and change. I love challenges and try to find out a way amidst of dire situations. 
I am currently working as a UI/UX designer in Licious. Skilled in designing UI systems in react js as well as designing apps in figma.",VIT UNIVERSITY,pg,group2,Arts and Design,10kdesigners,Designer,network,India,AS,Computer Science,0.39451176,0.41186544,-0.30173516,-0.32955867,0.6104413,-0.61622804,-0.5348988,0.19595388,-0.403576,0.14288117,-0.34562543,-0.15667738,-0.22795308,-0.5947676
12,Hospital & Health Care,"Vellore, Tamil Nadu, India",True,2021.0,Flutter App Developer at HelpNow,"Designer | Programmer 

Winner of Best UI/UX in Parallax 2020 hosted by TEC VIT

Winner of Best Design in Women Techies 2020 hosted by DSC VIT

Always learning.",Vellore Institute of Technology,ug,group1,Arts and Design,HelpNow,Developer,network,India,AS,Computer Science,0.6416101,0.5367587,-0.33944517,-0.4897708,0.7513437,-0.12845042,-0.5150479,0.19595388,-0.12480618,0.09244666,-0.34562543,-0.15667738,-0.22795308,-0.5947676
13,Design,"Delhi, India",False,2020.0,"Platform Design & Marketing at Zuddl / Host of ""Take it Easy"" Podcast / anshmehra.com",Currently learning UX Design and Marketing - plan to achieve both internal and external success.,Vellore Institute of Technology,ug,group2,Arts and Design,Zuddl,Designer,network,India,AS,Computer Science,-0.08776307,0.043291796,-0.03514063,-0.05999392,0.7513437,-0.12845042,-0.5348988,0.19595388,-0.2427024,0.14288117,-0.34562543,-0.15667738,-0.22795308,-0.5947676
14,Information Technology and Services,"Bangalore Urban, Karnataka, India",True,2021.0,Product Designer at DelightChat,"I have a deep interest in building and designing products and bringing technological innovations that bring a change in people's lives. I aspire to Design products that make a difference in someone's life 😀

Reach me at shrutichaturvedi98@gmail.com if you think we can work on something cool together.  ",Vellore Institute of Technology,ug,group2,Arts and Design,DelightChat,Designer,network,India,AS,Manufacturing and Production,-0.24523748,0.41186523,0.33638567,0.37041497,0.7513437,-0.12845042,-0.5348988,0.19595388,-0.29957524,0.14288117,-0.34562543,-0.15667738,-0.22795308,0.6116402
15,Consumer Goods,"Chengalpattu, Tamil Nadu, India",False,2020.0,Engineer - ASIC Design at SiFive,,VIT University (Chennai Campus),not_given,group2,Arts and Design,SiFive,Engineer,network,India,AS,"Electrical, Electronics and Communication Engineering",0.39451176,0.6158785,0.18783985,0.0068888944,0.66998506,0.52895916,-0.5348988,0.19595388,0.056252055,0.21950686,-0.34562543,-0.15667738,-0.22795308,0.66143984
16,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2020.0,Design and Product at Reverie Language Technologies | HFI Certified Usability Analyst (CUA)™,"A versatile designer, passionate about bridging the gap between user experience and business objectives with design. Has experience of working in the Information technology and services industry. Skilled in User Research, Wireframing, Typography, Information architecture, Prototyping, Visual Design & Usability Testing.

A HFI Certified Usability Analyst.

Also a Film making and Photography enthusiast.",Vellore Institute of Technology,ug,group2,Arts and Design,Reverie Language Technologies,Designer,network,India,AS,Computer Science,-0.24523748,0.41186523,0.05130935,-0.19775105,0.7513437,-0.12845042,-0.5348988,0.19595388,-0.045114752,0.14288117,-0.34562543,-0.15667738,-0.22795308,-0.5947676
17,Information Technology and Services,"Chennai, Tamil Nadu, India",True,2021.0,Visual Designer at Zoho,"
To work on design projects with an urge to understand project significance learn design methods. To learn conceptualisation of ideas and form exploration for products, interfaces and digital media. To channelize my passion for art and design to strike a balance between form and functionality. ",Vellore Institute of Technology,pg,group2,Arts and Design,Zoho Corporation,Designer,network,India,AS,Computer Science,-0.24523748,0.60004115,0.5386671,0.004666545,0.7513437,-0.61622804,-0.5348988,0.19595388,0.2696218,0.14288117,-0.34562543,-0.15667738,-0.22795308,-0.5947676
18,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2020.0,Digital Specialist @ McKinsey & Company | Ex-Microsoft Intern | SRE | AWS Cloud | Azure | Terraform | DevOps,"A passionate problem solver, initiative taker with strong logical and analytical skills, with the ability to work individually as well as in a team. An enthusiast to learn new ideas. 

My interests lie in DevSecOps, Cloud Engineering, System Design, Software Engineering, Algorithmic Problem Solving, SDLC and Agile. 

Have experience in building scalable applications from scratch using modern DevOps tool kit and Javascript technologies like React.js, Node.js and React Native.

Primarily focusing on gaining exposure to technologies and organisational processes to run technology businesses.",Vellore Institute of Technology,ug,group2,Arts and Design,McKinsey & Company,Specialist,network,India,AS,Computer Science,-0.24523748,0.41186544,-0.18194887,-0.41846886,0.7513437,-0.12845042,-0.5348988,0.19595388,-0.03595442,-0.39748526,-0.34562543,-0.15667738,-0.22795308,-0.5947676
19,Information Technology and Services,"Tamil Nadu, India",False,2020.0,Web Developer at Buyhatke,VIT vellore,Vellore Institute of Technology,ug,group2,Arts and Design,Buyhatke,Developer,network,India,AS,Computer Science,-0.24523748,0.56172913,0.0071722157,0.32578352,0.7513437,-0.12845042,-0.5348988,0.19595388,-0.01846557,0.092446804,-0.34562543,-0.15667738,-0.22795308,-0.5947676
20,Design,"Udaipur, Rajasthan, India",True,2021.0,Interaction design Intern at Beyond Design,,Vellore Institute of Technology,ug,group1,Arts and Design,Beyond Design,Intern,network,India,AS,Mechanical Engineering,-0.08776307,0.6863342,0.12460807,0.0068888944,0.7513437,-0.12845042,-0.5150479,0.19595388,0.32596245,-0.308086,-0.34562543,-0.15667738,-0.22795308,0.53104585
21,Mechanical or Industrial Engineering,Greater Leicester Area,False,2015.0,Vehicle Designer at HORIBA MIRA,"Experienced Designer with a demonstrated history of working in the automotive industry. Skilled in SolidWorks, ANSYS, Siemens NX, Matlab, and CATIA. Strong arts and design professional with a Master's Degree focused in Automotive Engineering from VIT Vellore in Collaboration with ARAI Pune. ",VIT Vellore in Collaboration with ARAI Pune,pg,group3,Arts and Design,HORIBA MIRA,Designer,network,England,unknown,Mechanical Engineering,0.5515584,-0.060433757,0.29323158,0.044203687,0.015418511,-0.61622804,-0.799207,0.19595388,-0.3455694,0.14288117,-0.34562543,-0.87891674,0.48930874,0.53104585
22,Mechanical or Industrial Engineering,"Dublin, Ohio, United States",False,2020.0,"Mechanical Design Engineer, System Integration Engineer (CAD, CAE, xEV Battery Design, V-cycle Product Development, Rapid Prototyping, Manufacturing) ","In the ever-growing technological world where a person with a holistic approach towards product development is desired, I believe I am that person who can and will bring the multi-domain skill set to achieve organizational and team goals. 

I am passionate about product development with fast-paced learning and never-ending inquisitiveness. Loves problem-solving, and team-work to foster growth.
 
With working experience in multiple OEM's and with active presence in young leadership roles at Goken America LLC, CU-ICAR, and VIT Vellore, I am proficient in:

1. Systems way of product engineering: 
V-model of product development starting from researching & understanding customer requirements and working all the way to develop a product which aligns with the customer’s needs

2. Product development (CAD/CAE):
Sheet metal & surface design, interiors plastics design, part, assembly, and drafting; using CATIA, SolidWorks, AutoCAD; CAE using HyperWorks - HyperMesh, OptiStruct, Abaqus non-linear; Ansys, basic Heat transfer Analysis, basic flow analysis using GT-Suite & Star-CCM+, Design for Manufacturing/Assembly, PDCA, DMAIC

3. Powertrain systems:
Components sizing, power flow simulations, powertrain controls strategy tuning (conventional, hybrids, EVs) using Matlab Simulink  

4. Lightweight Materials:
Steel, Al, Mg; Composites and Plastics

5.	Hands-on:
Prototyping and validation (hand tools, power tools, machining equipment)

6.	Automotive Testing:
BIW static & dynamic mode testing, modal NVH & vehicle testing, lab equipment (vehicle instrumentation, sensor calibration, troubleshooting, data acquisition, and data analysis; Somat TCE eDAQ, X-modal, MATLAB, Excel)

7. Working experience in fast-paced high volume manufacturing environment including application of Six Sigma tools for continuous improvement (root cause analysis, poka yoke development)

8. Exploring design automation through programming and applied data science & machine learning algorithms to business intelligence, product development & management.
",Chalmers University of Technology,pg,group2,Arts and Design,Rivian,Designer,network,United States,NA,"Electrical, Electronics and Communication Engineering",0.5515584,-1.2655406,0.5681445,-0.35958427,0.56981564,-0.61622804,-0.5348988,0.19595388,0.38868728,0.1428807,-0.34562543,0.21777464,0.20820904,0.6614398
23,Information Technology and Services,New York City Metropolitan Area,False,2018.0,Digital DevOps Engineer at HSBC,AWS Certified Cloud Engineer holding 3 AWS Associate and DevOps Engineer Professional Level  Certificates.,Binghamton University,pg,group2,Arts and Design,HSBC,developer,network,United States,NA,Computer Science,-0.24523748,0.3861558,0.43293107,-0.6480649,0.25948387,-0.61622804,-0.5348988,0.19595388,0.2973232,0.092446804,-0.34562543,0.21777464,0.20820904,-0.5947676
24,Information Technology and Services,"Chicago, Illinois, United States",False,2018.0,"Leading Product + UX at Remedy (Two Point Conversions, Inc.)",http://aroonmathai.com,Carnegie Mellon University,pg,group2,Arts and Design,"Two Point Conversions, Inc.",Designer,network,United States,NA,Computer Science,-0.24523748,0.06496668,-0.2027041,0.33404374,-0.36710516,-0.61622804,-0.5348988,0.19595388,-0.1907011,0.1428807,-0.34562543,0.21777464,0.20820904,-0.5947676
25,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2018.0,Product Designer at udaan,,Vellore Institute of Technology,ug,group2,Arts and Design,udaan.com,Designer,network,India,AS,Computer Science,-0.24523748,0.41186523,0.2557315,0.0068888944,0.7513437,-0.12845042,-0.5348988,0.19595388,0.14344127,0.1428807,-0.34562543,-0.15667738,-0.22795308,-0.5947676
26,Information Technology and Services,"Jaipur, Rajasthan, India",True,2021.0,Digital Technology Intern at General Electric Gas Power,,Vellore Institute of Technology,ug,group1,Arts and Design,GE,Intern,network,India,AS,Computer Science,-0.24523748,0.6265376,0.36094087,0.0068888944,0.7513437,-0.12845042,-0.5150479,0.19595388,-0.28599337,-0.308086,-0.34562543,-0.15667738,-0.22795308,-0.5947676
27,Information Technology and Services,"Pune, Maharashtra, India",True,2021.0,Product Designer at Recurr | Co-Founder at Sleefax | UI/UX Designing and Frontend Development,"I have always been a creator of sorts since childhood. Been a novel writer, script writer and short film maker among other pursuits. Have experience in Frontend Web Development and UI/UX Designing.

Been passionate about technology since 10. Avid reader, business enthusiast. Stands at the intersection of technology, art and humanities. A constant learner and passionate technologist who believes: “Those who are crazy enough to think they can change the world usually do”

Specialties: Product Design, Web Development, Product Management, Corporate Development, Business Operations, Product Strategy & Marketing.",Maharashtra Institute of Technology,ug,group1,Arts and Design,Recurr,Designer,network,India,AS,"Electrical, Electronics and Communication Engineering",-0.24523748,0.20149222,-0.05159559,-0.122783914,0.4165763,-0.12845042,-0.5150479,0.19595388,0.012700016,0.1428807,-0.34562543,-0.15667738,-0.22795308,0.6614398
28,Information Technology and Services,"Bangalore Urban, Karnataka, India",True,2021.0,"Product Designer at Flipkart | Prev. @Dunzo | Figma Community Advocate, Bengaluru","Designing for users @Flipkart. 
Prev at Dunzo
Winner of Zomato UX Teardown 🏆",Vellore Institute of Technology,ug,group2,Arts and Design,Flipkart,Designer,network,India,AS,Computer Science,-0.24523748,0.41186523,0.555391,-0.27243918,0.75134337,-0.12845042,-0.5348988,0.19595388,-0.30848655,0.1428807,-0.34562543,-0.15667738,-0.22795308,-0.5947676
29,Consumer Goods,"Copenhagen, Capital Region, Denmark",False,2020.0,E-commerce I Order fulfillment I BI & Analytics,"Business Architecture and digital software engineering with success in delivering complex solutions over years in Order Managment, ecommerce, BI and analytics solution within GCP & Microsoft Azure

•	Workshops with clients to map the business requirements appropriately with product capabilities.
•	Create scalable model to leverage the optimal out-of-the-box product usage.
•	POCs and Product demo’s to the client on areas covering Retail and supply Chain management
•	Demonstrate product capability to suit business requirement by showing product demo’s to customer.",Vellore Institute of Technology,ug,group3,Arts and Design,Pandora,Solution Expert,network,Denmark,EU,bioinformatics,0.39451176,0.14487307,-0.14305489,-0.46513173,0.75134337,-0.12845042,-0.799207,0.19595388,0.004644478,-0.74793065,-0.34562543,-0.24536699,-0.20890951,0.28560075
30,Consumer Services,"Tamil Nadu, India",False,2020.0,Autocad Designer (Freelance),"A civil undergraduate who is eager to learn and perform better with every opportunity . Loves making AutoCad plans of buildings and doing surveys of land. Dedicated , passionate and devoted towards work . Believes in hard-work , discipline and punctuality . Interested in Design and drafting. Looking forward to work in a civil firm and get more experience.",Vellore Institute of Technology,ug,group1,Arts and Design,Freelance,Designer,network,India,AS,Civil Engineering,0.38967007,0.56172913,0.48898253,-0.034839798,0.75134337,-0.12845042,-0.5150479,0.19595388,0.29647255,0.1428807,-0.34562543,-0.15667738,-0.22795308,0.51126933
31,Mechanical or Industrial Engineering,"Bangalore Urban, Karnataka, India",False,2020.0,Automotive Engineer ,"Looking for opportunities to learn more.
Also looking for Summer Internships 2020","Vellore Institute of Technology, Vellore",ug,group1,Arts and Design,DBQC-The Quiz Club of VIT,Designer,network,India,AS,Mechanical Engineering,0.5515584,0.41186523,0.4886273,-0.040479463,0.7866861,-0.12845042,-0.5150479,0.19595388,0.1117532,0.1428807,-0.34562543,-0.15667738,-0.22795308,0.53104585
32,Information Technology and Services,"Delhi, India",False,2020.0,Head of Design at Computer Society of India | Computer Science at Vellore Institute of Technology,,Vellore Institute of Technology,ug,group1,Arts and Design,Computer Society of India - VIT Student Chapter,Team Leader,network,India,AS,Computer Science,-0.24523748,0.043291796,-0.26224574,0.0068888944,0.75134337,-0.12845042,-0.5150479,0.19595388,-0.18253781,-0.28544277,-0.34562543,-0.15667738,-0.22795308,-0.5947676
33,Consumer Goods,"Bangalore Urban, Karnataka, India",True,2021.0,Ui/UX designer | Designer in residence @10kdesigners,"I am a curious person who love to learn new and exciting things and try to apply and change. I love challenges and try to find out a way amidst of dire situations. 
I am currently working as a UI/UX designer in Licious. Skilled in designing UI systems in react js as well as designing apps in figma.",VIT UNIVERSITY,pg,group2,Arts and Design,10kdesigners,Designer,network,India,AS,Computer Science,0.39451176,0.41186523,-0.30173516,-0.32955867,0.6104413,-0.61622804,-0.5348988,0.19595388,-0.403576,0.1428807,-0.34562543,-0.15667738,-0.22795308,-0.5947676
34,Hospital & Health Care,"Vellore, Tamil Nadu, India",True,2021.0,Flutter App Developer at HelpNow,"Designer | Programmer 

Winner of Best UI/UX in Parallax 2020 hosted by TEC VIT

Winner of Best Design in Women Techies 2020 hosted by DSC VIT

Always learning.",Vellore Institute of Technology,ug,group1,Arts and Design,HelpNow,Developer,network,India,AS,Computer Science,0.6416101,0.5367587,-0.33944517,-0.4897708,0.75134337,-0.12845042,-0.5150479,0.19595388,-0.12480618,0.09244666,-0.34562543,-0.15667738,-0.22795308,-0.5947676
35,Design,"Delhi, India",False,2020.0,"Platform Design & Marketing at Zuddl / Host of ""Take it Easy"" Podcast / anshmehra.com",Currently learning UX Design and Marketing - plan to achieve both internal and external success.,Vellore Institute of Technology,ug,group2,Arts and Design,Zuddl,Designer,network,India,AS,Computer Science,-0.08776307,0.043291796,-0.03514063,-0.05999392,0.75134337,-0.12845042,-0.5348988,0.19595388,-0.2427024,0.14288117,-0.34562543,-0.15667738,-0.22795308,-0.5947676
36,Information Technology and Services,"Bangalore Urban, Karnataka, India",True,2021.0,Product Designer at DelightChat,"I have a deep interest in building and designing products and bringing technological innovations that bring a change in people's lives. I aspire to Design products that make a difference in someone's life 😀

Reach me at shrutichaturvedi98@gmail.com if you think we can work on something cool together.  ",Vellore Institute of Technology,ug,group2,Arts and Design,DelightChat,Designer,network,India,AS,Manufacturing and Production,-0.24523748,0.41186523,0.33638567,0.37041497,0.7513437,-0.12845042,-0.5348988,0.19595388,-0.29957518,0.14288117,-0.34562543,-0.15667738,-0.22795308,0.6116402
37,Consumer Goods,"Chengalpattu, Tamil Nadu, India",False,2020.0,Engineer - ASIC Design at SiFive,,VIT University (Chennai Campus),not_given,group2,Arts and Design,SiFive,Engineer,network,India,AS,"Electrical, Electronics and Communication Engineering",0.39451176,0.6158785,0.18783985,0.0068888944,0.66998506,0.52895916,-0.5348988,0.19595388,0.056252055,0.21950686,-0.34562543,-0.15667738,-0.22795308,0.66143984
38,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2020.0,Design and Product at Reverie Language Technologies | HFI Certified Usability Analyst (CUA)™,"A versatile designer, passionate about bridging the gap between user experience and business objectives with design. Has experience of working in the Information technology and services industry. Skilled in User Research, Wireframing, Typography, Information architecture, Prototyping, Visual Design & Usability Testing.

A HFI Certified Usability Analyst.

Also a Film making and Photography enthusiast.",Vellore Institute of Technology,ug,group2,Arts and Design,Reverie Language Technologies,Designer,network,India,AS,Computer Science,-0.24523748,0.41186523,0.05130935,-0.19775105,0.7513437,-0.12845042,-0.5348988,0.19595388,-0.045114752,0.14288117,-0.34562543,-0.15667738,-0.22795308,-0.5947676
39,Information Technology and Services,"Chennai, Tamil Nadu, India",True,2021.0,Visual Designer at Zoho,"
To work on design projects with an urge to understand project significance learn design methods. To learn conceptualisation of ideas and form exploration for products, interfaces and digital media. To channelize my passion for art and design to strike a balance between form and functionality. ",Vellore Institute of Technology,pg,group2,Arts and Design,Zoho Corporation,Designer,network,India,AS,Computer Science,-0.24523748,0.60004115,0.5386671,0.004666545,0.75134337,-0.61622804,-0.5348988,0.19595388,0.2696218,0.14288117,-0.34562543,-0.15667738,-0.22795308,-0.5947676
40,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2020.0,Digital Specialist @ McKinsey & Company | Ex-Microsoft Intern | SRE | AWS Cloud | Azure | Terraform | DevOps,"A passionate problem solver, initiative taker with strong logical and analytical skills, with the ability to work individually as well as in a team. An enthusiast to learn new ideas. 

My interests lie in DevSecOps, Cloud Engineering, System Design, Software Engineering, Algorithmic Problem Solving, SDLC and Agile. 

Have experience in building scalable applications from scratch using modern DevOps tool kit and Javascript technologies like React.js, Node.js and React Native.

Primarily focusing on gaining exposure to technologies and organisational processes to run technology businesses.",Vellore Institute of Technology,ug,group2,Arts and Design,McKinsey & Company,Specialist,network,India,AS,Computer Science,-0.24523748,0.41186523,-0.18194887,-0.41846886,0.75134337,-0.12845042,-0.5348988,0.19595388,-0.03595442,-0.39748526,-0.34562543,-0.15667738,-0.22795308,-0.5947676
41,Information Technology and Services,"Tamil Nadu, India",False,2020.0,Web Developer at Buyhatke,VIT vellore,Vellore Institute of Technology,ug,group2,Arts and Design,Buyhatke,Developer,network,India,AS,Computer Science,-0.24523748,0.56172913,0.0071722157,0.32578352,0.75134337,-0.12845042,-0.5348988,0.19595388,-0.01846557,0.092446804,-0.34562543,-0.15667738,-0.22795308,-0.5947676
42,Design,"Udaipur, Rajasthan, India",True,2021.0,Interaction design Intern at Beyond Design,,Vellore Institute of Technology,ug,group1,Arts and Design,Beyond Design,Intern,network,India,AS,Mechanical Engineering,-0.08776307,0.6863342,0.12460807,0.0068888944,0.75134337,-0.12845042,-0.5150479,0.19595388,0.32596245,-0.308086,-0.34562543,-0.15667738,-0.22795308,0.53104585
43,Mechanical or Industrial Engineering,Greater Leicester Area,False,2015.0,Vehicle Designer at HORIBA MIRA,"Experienced Designer with a demonstrated history of working in the automotive industry. Skilled in SolidWorks, ANSYS, Siemens NX, Matlab, and CATIA. Strong arts and design professional with a Master's Degree focused in Automotive Engineering from VIT Vellore in Collaboration with ARAI Pune. ",VIT Vellore in Collaboration with ARAI Pune,pg,group3,Arts and Design,HORIBA MIRA,Designer,network,England,unknown,Mechanical Engineering,0.5515584,-0.060433757,0.29323158,0.044203687,0.015418525,-0.61622804,-0.799207,0.19595388,-0.3455694,0.14288117,-0.34562543,-0.87891674,0.48930874,0.53104585
